epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.92009,1.27671,2.00371,1.47538,0.68649,0.51667,0.59817,0.31253,1.64888,1.92476,2.26999,0.000653846,0.000653846,0.000653846
2,17.4012,1.3833,1.30605,1.52938,0.0228,0.11667,0.00762,0.00226,3.16605,10.0294,4.41216,0.00131616,0.00131616,0.00131616
3,25.9267,1.48199,1.40503,1.61707,0.29519,0.43278,0.26569,0.11144,2.15088,4.08533,2.874,0.00197406,0.00197406,0.00197406
4,34.4132,1.5016,1.37987,1.63306,0.07522,0.13333,0.03249,0.01352,2.69392,7.31152,3.06028,0.0019802,0.0019802,0.0019802
5,42.9235,1.46963,1.26327,1.5892,0.44986,0.325,0.32641,0.15517,2.3239,3.05036,2.63531,0.0019736,0.0019736,0.0019736
6,51.4409,1.4276,1.1995,1.57294,0.32825,0.39167,0.28787,0.14049,2.26824,2.93188,2.94535,0.001967,0.001967,0.001967
7,59.976,1.39581,1.1704,1.5262,0.71207,0.725,0.72146,0.40167,1.63262,1.4065,1.96078,0.0019604,0.0019604,0.0019604
8,68.6913,1.32145,1.02433,1.46544,0.82285,0.575,0.67793,0.38392,1.59128,1.5704,1.87825,0.0019538,0.0019538,0.0019538
9,77.2674,1.33091,1.06887,1.49788,0.74446,0.65551,0.69722,0.38278,1.59608,1.75656,1.92661,0.0019472,0.0019472,0.0019472
10,85.805,1.31816,1.06281,1.47497,0.74874,0.62085,0.70936,0.40242,1.50673,1.75697,1.80817,0.0019406,0.0019406,0.0019406
11,94.3921,1.3514,1.06628,1.48677,0.80525,0.65,0.69844,0.35182,1.77751,1.33473,2.20743,0.001934,0.001934,0.001934
12,102.984,1.27967,0.98658,1.43989,0.86063,0.64167,0.73372,0.43924,1.49283,1.29955,1.8578,0.0019274,0.0019274,0.0019274
13,111.726,1.25489,0.9808,1.42412,0.81984,0.74167,0.78658,0.44841,1.55305,1.15864,1.91709,0.0019208,0.0019208,0.0019208
14,120.481,1.24106,0.92698,1.41583,0.94608,0.73115,0.80941,0.49935,1.45919,0.99333,1.78502,0.0019142,0.0019142,0.0019142
15,129.243,1.2268,0.89954,1.40448,0.86769,0.76514,0.79938,0.4435,1.51284,1.21126,1.83311,0.0019076,0.0019076,0.0019076
16,138.088,1.24572,0.90124,1.42209,0.85995,0.78333,0.84697,0.51415,1.37234,1.021,1.69478,0.001901,0.001901,0.001901
17,146.852,1.23056,0.89742,1.40749,0.85966,0.76667,0.80823,0.49086,1.46866,1.08345,1.78394,0.0018944,0.0018944,0.0018944
18,155.475,1.20311,0.87187,1.3819,0.84559,0.77581,0.83255,0.53475,1.32637,1.05273,1.64349,0.0018878,0.0018878,0.0018878
19,164.257,1.18035,0.8349,1.36863,0.88533,0.725,0.81293,0.4743,1.45956,1.05106,1.76932,0.0018812,0.0018812,0.0018812
20,172.918,1.20013,0.88438,1.39189,0.8544,0.7335,0.83031,0.52153,1.348,0.98435,1.66969,0.0018746,0.0018746,0.0018746
21,181.566,1.21688,0.87174,1.39269,0.84616,0.78333,0.8305,0.48158,1.49985,1.00798,1.8002,0.001868,0.001868,0.001868
22,190.24,1.16956,0.81929,1.35423,0.85605,0.75833,0.80504,0.5012,1.3875,1.04947,1.70131,0.0018614,0.0018614,0.0018614
23,198.891,1.19684,0.80291,1.36905,0.88368,0.75971,0.83282,0.49829,1.39748,0.95087,1.71916,0.0018548,0.0018548,0.0018548
24,207.568,1.18074,0.82686,1.3556,0.9033,0.77842,0.86472,0.53612,1.37201,0.93426,1.65031,0.0018482,0.0018482,0.0018482
25,216.378,1.15103,0.78858,1.34468,0.88751,0.74167,0.83226,0.50827,1.46513,0.9295,1.76749,0.0018416,0.0018416,0.0018416
26,225.07,1.14418,0.77367,1.33378,0.87798,0.71954,0.80812,0.49792,1.49805,0.96628,1.79378,0.001835,0.001835,0.001835
27,233.704,1.15679,0.77441,1.34658,0.93673,0.74167,0.85722,0.53046,1.35742,0.89423,1.67218,0.0018284,0.0018284,0.0018284
28,242.37,1.10599,0.73789,1.32191,0.90092,0.76667,0.86049,0.54879,1.40179,0.88843,1.69501,0.0018218,0.0018218,0.0018218
29,251.282,1.13678,0.77926,1.34226,0.87438,0.725,0.81512,0.4925,1.42059,0.9383,1.73848,0.0018152,0.0018152,0.0018152
30,260.146,1.14175,0.76035,1.33821,0.84292,0.78333,0.83425,0.50071,1.45529,0.95592,1.78512,0.0018086,0.0018086,0.0018086
31,268.82,1.12797,0.75458,1.33308,0.83188,0.80833,0.83716,0.5363,1.39742,0.97586,1.69005,0.001802,0.001802,0.001802
32,277.515,1.09364,0.7522,1.31942,0.84374,0.71667,0.77779,0.46167,1.57346,1.12231,1.9164,0.0017954,0.0017954,0.0017954
33,286.137,1.10473,0.73732,1.31453,0.85202,0.70833,0.78465,0.49086,1.39968,0.98115,1.69493,0.0017888,0.0017888,0.0017888
34,294.772,1.10272,0.74687,1.31339,0.83735,0.80833,0.85865,0.55234,1.32312,0.93608,1.64117,0.0017822,0.0017822,0.0017822
35,303.602,1.10982,0.7396,1.31146,0.91223,0.77957,0.8655,0.54113,1.37745,0.90343,1.66393,0.0017756,0.0017756,0.0017756
36,312.252,1.10699,0.72747,1.30649,0.83886,0.82428,0.84684,0.54381,1.37013,0.84843,1.69091,0.001769,0.001769,0.001769
37,320.928,1.05758,0.6909,1.27998,0.88651,0.75833,0.84532,0.54862,1.32476,0.88691,1.60437,0.0017624,0.0017624,0.0017624
38,329.602,1.08495,0.70883,1.28476,0.85006,0.85039,0.86743,0.56769,1.33013,0.80248,1.63571,0.0017558,0.0017558,0.0017558
39,338.475,1.10295,0.72702,1.30196,0.89608,0.75833,0.85472,0.54543,1.38422,0.89609,1.6534,0.0017492,0.0017492,0.0017492
40,347.234,1.08466,0.7088,1.30345,0.84335,0.79167,0.80554,0.51848,1.38685,0.88248,1.68186,0.0017426,0.0017426,0.0017426
41,355.992,1.07241,0.69441,1.28594,0.9363,0.8,0.85753,0.53527,1.3552,0.80023,1.66664,0.001736,0.001736,0.001736
42,364.907,1.03739,0.6581,1.26817,0.95133,0.81444,0.88519,0.57688,1.32178,0.78403,1.64837,0.0017294,0.0017294,0.0017294
43,373.808,1.06371,0.69743,1.28528,0.8876,0.75833,0.83447,0.55308,1.33812,0.80165,1.64895,0.0017228,0.0017228,0.0017228
44,382.532,1.01611,0.66031,1.27243,0.87387,0.80829,0.84778,0.51929,1.43354,0.80885,1.73958,0.0017162,0.0017162,0.0017162
45,391.275,1.04808,0.67851,1.26734,0.89708,0.80833,0.85807,0.55382,1.37012,0.82957,1.62302,0.0017096,0.0017096,0.0017096
46,400.008,1.02858,0.64915,1.25241,0.90138,0.83333,0.8793,0.55673,1.38171,0.84049,1.65897,0.001703,0.001703,0.001703
47,408.773,1.01715,0.64281,1.26685,0.86403,0.8473,0.8876,0.5584,1.35293,0.79012,1.6333,0.0016964,0.0016964,0.0016964
48,417.519,1.02387,0.62815,1.26035,0.88142,0.83333,0.87048,0.57437,1.35524,0.82284,1.63545,0.0016898,0.0016898,0.0016898
49,426.228,1.00894,0.62181,1.23888,0.91481,0.81667,0.87655,0.58,1.31484,0.76434,1.64557,0.0016832,0.0016832,0.0016832
50,435.106,0.99484,0.6165,1.2517,0.86787,0.85,0.86595,0.56766,1.30472,0.76438,1.63613,0.0016766,0.0016766,0.0016766
51,443.803,1.01091,0.64027,1.26228,0.80568,0.76667,0.82243,0.52259,1.44952,0.89251,1.72358,0.00167,0.00167,0.00167
52,452.475,0.98566,0.61629,1.23341,0.89532,0.85833,0.88005,0.5741,1.34857,0.7654,1.64262,0.0016634,0.0016634,0.0016634
53,461.157,1.01496,0.6231,1.24883,0.9129,0.825,0.87777,0.57109,1.38583,0.78834,1.65737,0.0016568,0.0016568,0.0016568
54,469.855,0.99455,0.6173,1.25063,0.87326,0.86667,0.87378,0.56021,1.3575,0.74327,1.67482,0.0016502,0.0016502,0.0016502
55,478.591,0.98742,0.61294,1.23921,0.88589,0.79167,0.84945,0.5448,1.41637,0.82697,1.73461,0.0016436,0.0016436,0.0016436
56,487.527,1.00659,0.62614,1.2557,0.85046,0.85833,0.85741,0.54675,1.37021,0.79912,1.66033,0.001637,0.001637,0.001637
57,496.263,1.00282,0.63487,1.23319,0.91653,0.81667,0.87315,0.55245,1.40368,0.80732,1.68958,0.0016304,0.0016304,0.0016304
58,504.972,0.99533,0.6298,1.23792,0.92915,0.74167,0.85099,0.57192,1.33179,0.79801,1.64167,0.0016238,0.0016238,0.0016238
59,513.702,0.97046,0.58504,1.21532,0.88203,0.80997,0.86539,0.56927,1.35907,0.72642,1.70129,0.0016172,0.0016172,0.0016172
60,522.471,0.98548,0.60302,1.23109,0.91383,0.8,0.88461,0.56796,1.33399,0.74839,1.61067,0.0016106,0.0016106,0.0016106
61,531.212,0.97784,0.59574,1.22664,0.91431,0.80833,0.86079,0.56002,1.35923,0.79804,1.68274,0.001604,0.001604,0.001604
62,539.915,0.97248,0.5918,1.22208,0.86663,0.83333,0.85497,0.56078,1.38223,0.80783,1.69728,0.0015974,0.0015974,0.0015974
63,548.669,0.92204,0.57534,1.1866,0.85683,0.81667,0.85362,0.56286,1.35794,0.80012,1.71327,0.0015908,0.0015908,0.0015908
64,557.372,0.93643,0.56235,1.20133,0.8785,0.80833,0.85573,0.55152,1.36732,0.81386,1.6863,0.0015842,0.0015842,0.0015842
65,566.12,0.92164,0.54891,1.19691,0.87481,0.81523,0.86396,0.55934,1.38985,0.76217,1.72775,0.0015776,0.0015776,0.0015776
66,574.816,0.94317,0.57016,1.19871,0.90193,0.8,0.86558,0.58638,1.27054,0.7361,1.60049,0.001571,0.001571,0.001571
67,583.689,0.93869,0.56734,1.19642,0.908,0.80833,0.86813,0.57055,1.28445,0.77889,1.58879,0.0015644,0.0015644,0.0015644
